movie_name,soundtrack_name,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Lord of the Rings: The Return of the King,A Shadow Lies Between Us ,0.218,0.207,0.035,0.89,0.918,0.0891,0.155,132.606
Pulp Fiction,Misirlou ,0.474,0.915,0.0479,0.516,0.923,0.262,0.463,85.5
Pulp Fiction,It's Country ,0.581,0.687,0.15,0.694,7.05e-05,0.305,0.892,157.291
Pulp Fiction,Jungle Boogie ,0.774,0.862,0.127,0.0815,4.21e-06,0.356,0.666,106.501
Pulp Fiction,Strawberry Letter #23 ,0.73,0.622,0.0532,0.269,0.00874,0.111,0.752,90.973
Pulp Fiction,Bustin' Surfboards ,0.581,0.687,0.15,0.694,7.05e-05,0.305,0.892,157.291
Pulp Fiction,Let's Stay Together ,0.687,0.455,0.0265,0.66,3.64e-05,0.137,0.457,102.995
Pulp Fiction,Son Of A Preacher Man ,0.401,0.498,0.0757,0.394,0.0,0.13,0.816,181.701
Pulp Fiction,Bullwinkle Part II ,0.481,0.483,0.0273,0.0118,0.938,0.0873,0.446,159.99
Pulp Fiction,Waitin' In School ,0.581,0.687,0.15,0.694,7.05e-05,0.305,0.892,157.291
Pulp Fiction,Lonesome Town ,0.499,0.133,0.0308,0.865,0.0308,0.102,0.281,77.943
Pulp Fiction,Ace Of Spades ,0.606,0.703,0.033,0.908,0.854,0.0714,0.881,76.304
Pulp Fiction,Rumble ,0.389,0.451,0.0314,0.41,0.947,0.173,0.447,104.399
Pulp Fiction,Since I First Met You ,0.33,0.909,0.0384,0.0145,0.754,0.244,0.471,172.753
Pulp Fiction,Teenagers In Love ,0.555,0.377,0.0295,0.671,0.0,0.128,0.619,78.986
Pulp Fiction,You Never Can Tell ,0.581,0.687,0.15,0.694,7.05e-05,0.305,0.892,157.291
Pulp Fiction,"Girl, You'll Be A Woman Soon ",0.561,0.674,0.0261,0.229,0.00334,0.123,0.646,114.066
Pulp Fiction,If Love Is A Red Dress (Hang Me In Rags) ,0.489,0.144,0.0274,0.954,0.00051,0.138,0.123,92.031
Pulp Fiction,Flowers On The Wall ,0.701,0.56,0.0549,0.668,1.62e-06,0.0364,0.953,97.667
Pulp Fiction,Out Of Limits ,0.33,0.909,0.0384,0.0145,0.754,0.244,0.471,172.753
Pulp Fiction,Surf Rider ,0.544,0.819,0.0343,0.000163,0.798,0.536,0.852,138.006
Pulp Fiction,Comanche ,0.581,0.687,0.15,0.694,7.05e-05,0.305,0.892,157.291
Pulp Fiction,"Ole, Ole ",0.691,0.865,0.0614,0.00867,0.000182,0.13,0.788,117.978
The Lord of the Rings: The Fellowship of the Ring,Flaming Red Hair ,0.507,0.337,0.0561,0.485,0.00254,0.0536,0.67,169.937
The Lord of the Rings: The Fellowship of the Ring,The Road Goes Ever On ,0.0671,0.0777,0.0424,0.911,0.852,0.0947,0.0382,73.277
The Lord of the Rings: The Fellowship of the Ring,In Dreams ,0.131,0.137,0.0387,0.934,0.485,0.087,0.0465,78.577
The Lord of the Rings: The Fellowship of the Ring,May It Be ,0.215,0.169,0.0402,0.974,0.0585,0.0907,0.0547,132.925
The Lord of the Rings: The Fellowship of the Ring,Aníron ,0.104,0.111,0.0517,0.979,0.926,0.11,0.039,83.933
The Lord of the Rings: The Fellowship of the Ring,To The Bottle I Go ,0.137,0.0625,0.04,0.941,0.926,0.277,0.0365,87.682
The Lord of the Rings: The Fellowship of the Ring,The Song of Beren and Luthien ,0.45,0.0142,0.0371,0.943,0.196,0.101,0.158,92.137
"The Good, the Bad and the Ugly",The Story Of A Soldier ,0.304,0.657,0.0824,0.787,0.954,0.113,0.102,120.338
"The Good, the Bad and the Ugly",The Ecstasy of Gold ,0.134,0.474,0.0518,0.826,0.58,0.195,0.133,98.854
Forrest Gump,Lovesick Blues ,0.714,0.62,0.0283,0.77,0.0,0.142,0.51,126.049
Forrest Gump,Hound Dog ,0.701,0.417,0.0329,0.0888,0.000648,0.375,0.186,95.003
Forrest Gump,Rebel Rouser ,0.365,0.354,0.0338,0.769,0.883,0.563,0.923,204.125
Forrest Gump,(I Don't Know Why) But I Do ,0.608,0.513,0.0467,0.793,1.39e-05,0.107,0.796,91.946
Forrest Gump,Walk Right In ,0.608,0.513,0.0467,0.793,1.39e-05,0.107,0.796,91.946
Forrest Gump,Sugar Shack ,0.639,0.105,0.0607,0.993,0.91,0.0618,0.455,210.044
Forrest Gump,Paramount Newsreel Music ,0.11,0.122,0.038,0.958,0.871,0.0758,0.039,75.766
Forrest Gump,Camelot ,0.608,0.513,0.0467,0.793,1.39e-05,0.107,0.796,91.946
Forrest Gump,Pomp and Circumstance ,0.205,0.265,0.0371,0.876,0.847,0.141,0.311,87.881
Forrest Gump,Hanky Panky ,0.664,0.593,0.0286,0.715,0.0,0.0653,0.819,126.138
