,name,year,song_name,written_by,performed_by,composed_by,lyrics_by,written_performed_by,music_by,courtesy_of,conducted_by,libretto_by,under_license_from
486,Once Upon a Time in the West,1968,L'Uomo Dell'Armonica ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,Once Upon a Time in the West,1968,In Una Stanza Con Poca Luce ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,Once Upon a Time in the West,1968,L'Uomo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489,Once Upon a Time in the West,1968,L'Orchestraccia ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
490,Once Upon a Time in the West,1968,L'America Di Jill ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,Once Upon a Time in the West,1968,L'Ultimo Rantolo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,Once Upon a Time in the West,1968,Finale ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,Hara-Kiri,1962,It looks like we don't have any Soundtracks for this title yet.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,Grave of the Fireflies,1988,Home Sweet Home ,H.R. Bishop (uncredited) ,Amelita Galli-Curci ,NA,NA,NA,NA,"RCA Victor Red Seal, a division of BMG Classics",NA,NA,NA
495,Grave of the Fireflies,1988,Gunkan kôshinkyoku ,Tôkichi Setoguchi,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,Alien,1979,Incidental music from 'Symphony No. 2 ('Romantic')' ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,Alien,1979,Eine kleine Nachtmusik ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,Alien,1979,You Are My Lucky Star ,NA,Sigourney Weaver,NA,Arthur Freed ,NA,Nacio Herb Brown ,NA,NA,NA,NA
499,Rear Window,1954,Excerpt from 'Fancy Free' ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,Rear Window,1954,To See You (Is to Love You) ,NA,Bing Crosby ,NA,Johnny Burke ,NA,Jimmy Van Heusen ,NA,NA,NA,NA
501,Rear Window,1954,Lisa ,NA,NA,NA,Harold Rome,NA,Franz Waxman ,NA,NA,NA,NA
502,Rear Window,1954,That's Amore ,NA,NA,NA,NA,NA,Harry Warren ,NA,NA,NA,NA
503,Rear Window,1954,Mona Lisa ,Ray Evans and Jay Livingston ,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,Rear Window,1954,Instrumental excerpt from 'Red Garters' ,Jay Livingston and Ray Evans,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,Rear Window,1954,Many Dreams Ago ,NA,NA,NA,Mack David Played when Miss Lonelyhearts goes out to the restaurant across the street,NA,Franz Waxman ,NA,NA,NA,NA
506,Rear Window,1954,"Martha, oder Der Markt zu Richmond ",NA,NA,NA,NA,NA,Friedrich von Flotow ,NA,NA,Friedrich Wilhelm Riese,NA
507,Rear Window,1954,Il carnevale di Venezia ,NA,NA,Niccolò Paganini,NA,NA,NA,NA,NA,NA,NA
508,Rear Window,1954,"Balettmusik, nr 2, G-dur. ",NA,NA,Franz Schubert ,NA,NA,NA,NA,NA,NA,NA
509,Rear Window,1954,Lover ,NA,NA,NA,NA,NA,Richard Rodgers,NA,NA,NA,NA
510,City Lights,1931,Flower Girl Theme ,NA,NA,NA,NA,NA,José Padilla,NA,NA,NA,NA
511,City Lights,1931,The Star Spangled Banner ,NA,NA,NA,NA,NA,John Stafford Smith,NA,NA,NA,NA
512,City Lights,1931,How Dry I Am ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
513,City Lights,1931,Beautiful Wonderful Eyes ,NA,NA,NA,NA,NA,Charles Chaplin,NA,NA,NA,NA
514,City Lights,1931,Tomorrow the Sun Will Shine ,NA,NA,NA,NA,NA,Charles Chaplin,NA,NA,NA,NA
515,City Lights,1931,Happy Romance ,NA,NA,NA,NA,NA,Charles Chaplin,NA,NA,NA,NA
516,City Lights,1931,Promenade ,NA,NA,NA,NA,NA,Charles Chaplin,NA,NA,NA,NA
517,City Lights,1931,Orientale ,NA,NA,NA,NA,NA,Charles Chaplin,NA,NA,NA,NA
518,City Lights,1931,La Violetera ,NA,NA,NA,NA,NA,José Padilla,NA,NA,NA,NA
519,Memento,2000,Something in the Air ,NA,David Bowie ,NA,David Bowie ,NA,David Bowie and Reeves Gabrels ,"RZO Music, Inc./Virgin Records America, Inc.",NA,NA,NA
520,Memento,2000,Stone ,NA,NA,NA,NA,Monc ,NA,Conglomerated Industries,NA,NA,NA
521,Memento,2000,Generation Z ,NA,NA,NA,NA,Monc ,NA,Conglomerated Industries,NA,NA,NA
522,Memento,2000,Motherlode ,Chuck Hamshaw & Mark Schmidt ,NA,NA,NA,NA,NA,"Megatrax Production Music, Inc. (1994)",NA,NA,NA
523,Memento,2000,Ipanema Dreaming ,Daniel May ,Daniel May ,NA,NA,NA,NA,Marc Ferrari/MasterSource,NA,NA,NA
524,Memento,2000,Do the Boogaloo ,Gerhard Narholz (as Sammy Burdson) and John Fiddy (as Jean-Claude Madonne) ,Quango & Sparky Sonoton Music Library ,NA,NA,NA,NA,Associated Production Music,NA,NA,NA
525,Apocalypse Now,1979,The End ,NA,The Doors ,NA,NA,NA,NA,Elektra/Asylum Records,NA,NA,NA
526,Apocalypse Now,1979,(I Can't Get No) Satisfaction ,Mick Jagger and Keith Richards ,The Rolling Stones ,NA,NA,NA,NA,ABKCO Records,NA,NA,NA
527,Apocalypse Now,1979,"Love Me, And Let Me Love You ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
528,Apocalypse Now,1979,The Ride of the Valkyries ,NA,Wiener Philharmoniker (as The Vienna Philharmonic Orchestra) ,Richard Wagner ,NA,NA,NA,Decca Record Company Ltd/London Records Inc.,Georg Solti ,NA,NA
529,Apocalypse Now,1979,Let The Good Times Roll ,Shirley Goodman and Leonard Lee,NA,NA,NA,NA,NA,NA,NA,NA,NA
530,Apocalypse Now,1979,Suzie Q ,"Dale Hawkins, Stan Lewis (as S. J. Lewis) and Eleanor Broadwater (as E. Broadwater) ",Flash Cadillac ,NA,NA,NA,NA,Private Stock Records,NA,NA,NA
531,Apocalypse Now,1979,Excerpts from 'Mnong Gar Music from Vietnam' ,NA,NA,NA,NA,NA,NA,OCORA Radio France,NA,NA,NA
532,Apocalypse Now,1979,Collection Musee de l'homme ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,Apocalypse Now,1979,Surfin' Safari ,Brian Wilson and Mike Love Guild Music (BMI) c/o Original Sound Entertainment,NA,NA,NA,NA,NA,NA,NA,NA,NA
534,Apocalypse Now,1979,Sonnerie Aux Morts ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
535,Cinema Paradiso,1988,Nuovo Cinema Paradiso (Titoli) ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
536,Cinema Paradiso,1988,Maturita' - Maturity ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
537,Cinema Paradiso,1988,Tema d'Amore - Love Theme ,Andrea Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
538,Cinema Paradiso,1988,Infanzia e Maturita' - Childhood and Manhood ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,Cinema Paradiso,1988,Ripensandola - While Thinking About Her Again ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
540,Cinema Paradiso,1988,Cinema in Fiamme - Cinema on Fire (Extended Version) ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
541,Cinema Paradiso,1988,Tema d'Amore - Love Theme (2nd Version) ,Andrea Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
542,Cinema Paradiso,1988,Toto and Alfredo ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
543,Cinema Paradiso,1988,Dopo il Crollo - After the Destruction (Extended Version) ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
544,Cinema Paradiso,1988,Tema d'Amore per Nata - Love Theme for Nata ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
545,Cinema Paradiso,1988,Visita al Cinema - Visit to the Cinema ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
546,Cinema Paradiso,1988,Prima Giovinezza - First Youth ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
547,Cinema Paradiso,1988,Quattro Interludi - Four Interludes ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
548,Cinema Paradiso,1988,"Fuga, Ricerca e Ritorno - Runaway, Search and Return ",Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
549,Cinema Paradiso,1988,From American Sex Appeal to the First Fellini ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,Cinema Paradiso,1988,Tema d'Amore - Love Theme (3rd Version) ,Andrea Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,Cinema Paradiso,1988,Proiezione per Due - Projection for Two ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
552,Cinema Paradiso,1988,Toto and Alfredo (2nd Version) ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
553,Cinema Paradiso,1988,Tema della Bicicletta - Bicycle Theme ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,Cinema Paradiso,1988,Visita al Cinema - Visit to the Cinema ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
555,Indiana Jones and the Raiders of the Lost Ark,1981,I am the Monarch of the Sea ,NA,NA,NA,W.S. Gilbert ,NA,Arthur Sullivan ,NA,NA,NA,NA
556,Indiana Jones and the Raiders of the Lost Ark,1981,A British Tar ,NA,NA,NA,W.S. Gilbert ,NA,Arthur Sullivan ,NA,NA,NA,NA
557,Django Unchained,2012,Django Theme Song (English Version) ,Luis Bacalov ,"Luis Bacalov, Rocky Roberts ",NA,"Franco Migliacci, Robert Mellin (uncredited) ",NA,NA,EMI General Music Publishing SRL,Bruno Nicolai (uncredited) ,NA,NA
558,Django Unchained,2012,Rito finale ,Ennio Morricone ,NA,NA,NA,NA,NA,NA,"Ennio Morricone and Bruno Nicolai Universal Music Publishing Records, S.R.L.",NA,NA
559,Django Unchained,2012,The Braying Mule ,NA,NA,NA,NA,Ennio Morricone (From Two Mules for Sister Sara (1970)) ,NA,Universal Studios,NA,NA,NA
560,Django Unchained,2012,Main Titles Theme Song (Lo chiamavano King) ,Luis Bacalov ,"Luis Bacalov, Edda Dell'Orso ",NA,NA,NA,NA,EMI General Music Publishing SRL,NA,NA,NA
561,Django Unchained,2012,Norme con ironie ,Ennio Morricone ,NA,NA,NA,NA,NA,Universal Music Publishing Records S.R.L.,Ennio Morricone and Bruno Nicolai ,NA,NA
562,Django Unchained,2012,Gavotte ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
563,Django Unchained,2012,Town of Silence ,Luis Bacalov ,Luis Bacalov ,NA,NA,NA,NA,EMI General Music Publishing SRL,NA,NA,NA
564,Django Unchained,2012,Town of Silence (2nd Version) ,Luis Bacalov ,Luis Bacalov ,NA,NA,NA,NA,EMI General Music Publishing SRL,NA,NA,NA
565,Django Unchained,2012,Freedom ,"Elayna Boynton, Kelvin Wooten, Anthony Hamilton ",Anthony Hamilton & Elayna Boynton ,NA,NA,NA,NA,NA,NA,NA,NA
566,Django Unchained,2012,La Corsa (2nd Version) ,Luis Bacalov ,Luis Bacalov ,NA,NA,NA,NA,EMI General Music Publishing SRL,NA,NA,NA
567,Django Unchained,2012,I Got a Name ,Charles Fox and Norman Gimbel (as Norman Gimble) ,Jim Croce ,NA,NA,NA,NA,Lastrada Entertainment/Rhino Independent ,NA,NA,NA
568,Django Unchained,2012,Dies Irae (Requiem) ,NA,Warsaw Philharmonic Orchestra (as Warsaw Philharmonic Orchestra),Giuseppe Verdi ,NA,NA,NA,NA,NA,NA,NA
569,Django Unchained,2012,I giorni dell'ira ,Riz Ortolani (as Riziero Ortolani) ,NA,NA,NA,NA,NA,Universal Music Publishing Records S.R.L.,Riz Ortolani ,NA,NA
570,Django Unchained,2012,The Big Risk ,NA,NA,NA,NA,Ennio Morricone ,NA,"Metro-Goldwyn-Mayer Music, Inc.",NA,NA,NA
571,Django Unchained,2012,100 Black Coffins ,Jamie Foxx and Rick Ross ,Rick Ross ,NA,NA,NA,NA,The Island Def Jam Music Group,NA,NA,NA
572,Django Unchained,2012,Minacciosamente Lotano ,NA,NA,NA,NA,Ennio Morricone ,NA,EMI General Music Publishing SRL,NA,NA,NA
573,Django Unchained,2012,Trackers Chant ,Ted Neeley ,"Ted Neeley, Bruce Yauger (as Bruce Landon Yauger)",NA,NA,NA,NA,NA,NA,NA,NA
574,Django Unchained,2012,Nicaragua ,NA,NA,NA,NA,Jerry Goldsmith Featuring guest soloist Pat Metheny ,NA,Metro-Goldwyn-Mayer Music Inc.,NA,NA,NA
575,Django Unchained,2012,Ancora Qui ,Ennio Morricone and Elisa (as Elisa Toffoli) ,Elisa ,NA,NA,NA,NA,Sugar SRL,NA,NA,NA
576,Django Unchained,2012,Sister Sara's Theme ,NA,NA,NA,NA,Ennio Morricone ,NA,Universal Studios,NA,NA,NA
577,Django Unchained,2012,Blue Dark Waltz ,NA,NA,NA,NA,Luis Bacalov ,NA,EMI General Music Publishing SRL,NA,NA,NA
578,Django Unchained,2012,Für Elise ,Ludwig van Beethoven ,NA,NA,NA,NA,NA,NA,NA,NA,NA
579,Django Unchained,2012,Unchained (The Payback/Untouchable) ,"Swizz Beatz (as Kasseem Dean), Yafeu Fula, Krayzie Bone (as Anthony Henderson), Tupac Shakur, Hussein Fatal ",Tupac Shakur (as 2Pac) ,NA,NA,NA,NA,Amaru Entertainment/Interscope Records ,NA,NA,Universal Music Enterprises 
580,Django Unchained,2012,Freedom ,Richie Havens ,Richie Havens ,NA,NA,NA,NA,Warner Bros. Entertainment Inc.,NA,NA,NA
581,Django Unchained,2012,Who Did That to You? ,John Legend ,John Legend ,NA,NA,NA,NA,Columbia Records ,NA,NA,NA
582,Django Unchained,2012,Ain't No Grave (Black Opium Remix) ,NA,Johnny Cash ,NA,NA,NA,NA,"American Recordings, LLC ",NA,NA,Universal Music Enterprises
583,Django Unchained,2012,Too Old to Die Young ,Dege Legg ,Dege Legg (as Brother Dege) ,NA,NA,NA,NA,Golarwash Labs and Records LLC,NA,NA,NA
584,Django Unchained,2012,Un monumento ,NA,NA,NA,NA,Ennio Morricone ,NA,EMI General Music Publishing SRL,NA,NA,NA
585,Django Unchained,2012,Trinity: Titoli ,"Franco Micalizzi (as F. Micalizzi), Harold Stott (as L. Stott) ",Annibale E I Cantori Moderni ,NA,NA,NA,NA,"Carosello C.E.M.E.D., Italy",NA,NA,NA
586,Django Unchained,2012,Dopo la congiura ,NA,NA,NA,NA,Ennio Morricone ,NA,EMI General Music Publishing SRL,NA,NA,NA
587,Django Unchained,2012,Ode to Django ,NA,NA,NA,RZA Inspired by Quentin Tarantino ,NA,NA,Wu Tang Productions ,NA,NA,NA
588,Django Unchained,2012,Will the Circle Be Unbroken ,Ada R. Habershon & Charles Gabriel ,Nitty Gritty Dirt Band,NA,NA,NA,NA,NA,NA,NA,NA
589,Django Unchained,2012,In the Sweet By-and-By ,NA,Samuel L. Jackson,NA,J.P. Webster ,NA,S. Fillmore Bennett ,NA,NA,NA,NA
590,WALL·E,2008,Put On Your Sunday Clothes ,Jerry Herman ,"Michael Crawford (uncredited), Danny Lockin (uncredited), Barbra Streisand (uncredited), Tommy Tune (uncredited), Joyce Ames (uncredited) and the Company (uncredited) ",NA,NA,NA,NA,Twentieth Century Fox Film Corporation,NA,NA,NA
591,WALL·E,2008,BNL Jingle ,NA,NA,NA,Bill Bernstein,NA,Thomas Newman ,NA,NA,NA,NA
592,WALL·E,2008,It Only Takes a Moment ,Jerry Herman ,NA,NA,NA,NA,NA,Twentieth Century Fox Film Corporation,NA,NA,NA
593,WALL·E,2008,La Vie en Rose ,NA,Louis Armstrong ,NA,NA,NA,Louiguy ,The Verve Music Group ,NA,NA,Universal Music Enterprises
594,WALL·E,2008,"Don't Worry, Be Happy ",NA,NA,NA,NA,Bobby McFerrin ,NA,Original Artists,NA,NA,NA
595,WALL·E,2008,Also Sprach Zarathustra ,Richard Strauss,NA,NA,NA,NA,NA,NA,NA,NA,NA
596,WALL·E,2008,Down to Earth ,NA,"Peter Gabriel, featuring The Soweto Gospel Choir ",NA,Peter Gabriel ,NA,Peter Gabriel and Thomas Newman ,NA,NA,NA,NA
597,The Lives of Others,2006,"Ich Wurde Wenn Ich Wusste, Dass Ich Konnte ",NA,"4PS Lyrics By Kurt Demmler Music By Joachim-Franz Bartzsch Published By Edition Air Franz (P) 2007 Colosseum Music Entertainment GmbH, Licensed From Sony BMG Music Entertainment (Germany) GmbH",NA,NA,NA,NA,NA,NA,NA,NA
598,The Lives of Others,2006,Gral ,Ernst-Ludwig Petrowsky ,Manfred Ludwig Sextett feat. Ernst-Ludwig Petrowsky,NA,NA,NA,NA,NA,NA,NA,NA
599,The Lives of Others,2006,E.W. Als Gruss ,Ernst-Ludwig Petrowsky ,Manfred Ludwig Sextett feat. Ernst-Ludwig Petrowsky,NA,NA,NA,NA,NA,NA,NA,NA
600,The Lives of Others,2006,Champus-Lied ,NA,Angelika Mann Lyrics By Fred Gertz Music By Joachim-Franz Bartzsch ,NA,NA,NA,NA,NA,NA,NA,NA
601,The Lives of Others,2006,Wie Ein Stern ,NA,"Frank Schöbel Lyrics By Dieter Lietz Music By Hans-Georg Schmiedecke Published By Lied Der Zeit GmbH (P) 2007 Colosseum Music Entertainment GmbH, Licensed From Sony BMG Music Entertainment (Germany) GmbH",NA,NA,NA,NA,NA,NA,NA,NA
602,The Lives of Others,2006,Rock 'N Roll Im Stadtpark ,NA,Pankow ,NA,NA,NA,NA,NA,NA,NA,NA
603,The Lives of Others,2006,Stell Dich Mitten In Den Regen ,NA,"Bayon Lyrics By Wolfgang Borchert Music By Christoph Theusner (P) 2007 Colosseum Music Entertainment GmbH, Licensed From Sony BMG Music Entertainment (Germany) GmbH",NA,NA,NA,NA,NA,NA,NA,NA
604,The Lives of Others,2006,Die Sonate vom Guten Menschen ,"Gabriel Yared, Stéphane Moucha ",Sebastian Koch,NA,NA,NA,NA,NA,NA,NA,NA
605,The Lives of Others,2006,Ut Jucundas ,Gabriel Yared,NA,NA,NA,NA,NA,NA,NA,NA,NA
606,The Lives of Others,2006,Die Unsichtbare Front ,NA,NA,NA,NA,NA,NA,NA,Adam Klemens ,NA,NA
607,The Lives of Others,2006,HGW XX/7 ,NA,NA,NA,NA,NA,NA,NA,"Adam Klemens Piano Soloist: Jaromir Klepac, Guitar Soloist: Jaroslav Novák Composed By Gabriel Yared, Stéphane Moucha",NA,NA
608,The Lives of Others,2006,Linienstraße ,NA,The City of Prague Philharmonic Orchestra ,NA,NA,NA,NA,NA,"Adam Klemens Piano Soloist: Jaromir Klepac, Guitar Soloist: Jaroslav Novák Composed By Gabriel Yared, Stéphane Moucha",NA,NA
609,The Lives of Others,2006,Es Gibt Momente ,NA,"Hansi Biebl (P) 2007 Colosseum Music Entertainment GmbH, Licensed From Sony BMG Music Entertainment (Germany) GmbH",NA,NA,NA,NA,NA,NA,NA,NA
610,The Lives of Others,2006,Albatros ,NA,"Karat Lyrics By Norbert Kaiser Music By Ullrich Swillms (as Ed Swillms) Published By Harth Musikverlag / Bergisch Gladbach (P) 2007 Colosseum Music Entertainment GmbH, Licensed From Sony BMG Music Entertainment (Germany) GmbH",NA,NA,NA,NA,NA,NA,NA,NA
611,The Lives of Others,2006,Tausend Augen ,NA,"Silly (P) 2007 Colosseum Music Entertainment GmbH, Licensed From Sony BMG Music Entertainment (Germany) GmbH",NA,NA,NA,NA,NA,NA,NA,NA
612,The Lives of Others,2006,Das Leben Der Anderen ,NA,The City of Prague Philharmonic Orchestra ,NA,NA,NA,NA,NA,Adam Klemens ,NA,NA
613,The Lives of Others,2006,Verrat ,NA,The City of Prague Philharmonic Orchestra ,NA,NA,NA,NA,NA,"Adam Klemens Piano Soloist: Jaromir Klepac, Guitar Soloist: Jaroslav Novák Composed By Gabriel Yared, Stéphane Moucha ",NA,NA
614,The Lives of Others,2006,Gesichter Der Liebe ,NA,The City of Prague Philharmonic Orchestra ,NA,NA,NA,NA,NA,"Adam Klemens Piano Soloist: Jaromir Klepac, Guitar Soloist: Jaroslav NovákComposed By Gabriel Yared, Stéphane Moucha ",NA,NA
615,The Lives of Others,2006,"Georg Dreyman, Der Dichter ",NA,NA,"Gabriel Yared, Stéphane Moucha ",NA,NA,NA,NA,NA,NA,NA
616,Sunset Blvd.,1950,The Paramount-Don't-Want-Me Blues ,Jay Livingston and Ray Evans ,Jay Livingston and Ray Evans at Artie's party,NA,NA,NA,NA,NA,NA,NA,NA
617,Sunset Blvd.,1950,Buttons and Bows ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
618,Sunset Blvd.,1950,Charmaine/Diane ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
619,Sunset Blvd.,1950,"Toccata and Fugue in D Minor, BWV 565 ",NA,NA,NA,NA,NA,Johann Sebastian Bach ,NA,NA,NA,NA
620,Sunset Blvd.,1950,Auld Lang Syne ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
621,Sunset Blvd.,1950,La Cumparsita ,NA,NA,NA,NA,NA,Gerardo Matos Rodríguez ,NA,NA,NA,NA
622,Sunset Blvd.,1950,Sobre las Olas (Over the Waves) ,Juventino Rosas ,NA,NA,NA,NA,NA,NA,NA,NA,NA
623,The Shining,1980,The Shining (Main Title) ,Wendy Carlos and Rachel Elkind ,Wendy Carlos and Rachel Elkind ,NA,NA,NA,NA,NA,NA,NA,NA
624,The Shining,1980,Lontano ,György Ligeti ,Sinfonie-Orchester des Südwestfunks ,NA,NA,NA,NA,NA,Ernest Bour,NA,NA
625,The Shining,1980,The Awakening of Jakob ,Krzysztof Penderecki ,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach (as Polish Radio National Symphony Orchestra) ,NA,NA,NA,NA,NA,Krzysztof Penderecki,NA,NA
626,The Shining,1980,Utrenja - Ewangelia ,NA,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach ,NA,NA,NA,Krzysztof Penderecki ,NA,Krzysztof Penderecki,NA,NA
627,The Shining,1980,Utrenja - Kanon Paschy ,NA,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach (uncredited) ,NA,NA,NA,Krzysztof Penderecki ,NA,Krzysztof Penderecki (uncredited),NA,NA
628,The Shining,1980,De Natura Sonoris No. 1 ,NA,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach (uncredited) ,NA,NA,NA,Krzysztof Penderecki ,NA,Krzysztof Penderecki (uncredited),NA,NA
629,The Shining,1980,De Natura Sonoris No. 2 ,NA,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach (uncredited) ,NA,NA,NA,Krzysztof Penderecki ,NA,Krzysztof Penderecki (uncredited),NA,NA
630,The Shining,1980,Polymorphia ,NA,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach (uncredited) ,NA,NA,NA,Krzysztof Penderecki ,NA,Krzysztof Penderecki (uncredited),NA,NA
631,The Shining,1980,Masquerade ,NA,Jack Hylton and His Orchestra,NA,Paul Francis Webster ,NA,John Jacob Loeb ,NA,NA,NA,NA
632,The Shining,1980,"Midnight, the Stars and You ","Jimmy Campbell, Reginald Connelly, and Harry M. Woods ",NA,NA,NA,NA,NA,NA,NA,NA,NA
633,The Shining,1980,It's All Forgotten Now ,Ray Noble ,NA,NA,NA,NA,NA,NA,NA,NA,NA
634,The Shining,1980,Home (When Shadows Fall) ,"Peter Van Steeden, Geoffrey Clarkson, and Harry Clarkson ",Henry Hall and the Gleneagles Hotel Band,NA,NA,NA,NA,NA,NA,NA,NA
635,The Shining,1980,Kanon for 52 String Orchestra and Tape ,NA,NA,NA,NA,NA,Krzysztof Penderecki,NA,NA,NA,NA
636,The Shining,1980,"Music for Strings, Percussion, and Celesta (Movement III) ",NA,Berliner Philharmoniker (uncredited),NA,NA,NA,Béla Bartók ,NA,Herbert von Karajan ,NA,NA
637,Paths of Glory,1957,La Marseillaise ,Claude Joseph Rouget de Lisle In the score during the opening credits,NA,NA,NA,NA,NA,NA,NA,NA,NA
638,Paths of Glory,1957,"Künstlerleben (Artist's Life), Op.316 ",NA,NA,Johann Strauss Played as dance music at the party,NA,NA,NA,NA,NA,NA,NA
639,Paths of Glory,1957,Der Treue Husar ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
640,The Great Dictator,1940,Hungarian Dance No. 5 ,Johannes Brahms Played on the radio during the shaving scene,NA,NA,NA,NA,NA,NA,NA,NA,NA
641,The Great Dictator,1940,"Prelude to 'Lohengrin' , Act I ",NA,NA,NA,NA,NA,Richard Wagner,NA,NA,NA,NA
642,The Great Dictator,1940,"String Quintet in E, Op. 13 No. 5: Minuet ",NA,NA,NA,NA,NA,Luigi Boccherini ,NA,NA,NA,NA
643,Avengers: Infinity War,2018,The Rubberband Man ,Thom Bell (as Thomas Bell) and Linda Creed ,The Spinners ,NA,NA,NA,NA,Atlantic Recording Group ,NA,NA,NA
644,Avengers: Infinity War,2018,Black Panther Theme ,NA,NA,Ludwig Göransson ,NA,NA,NA,NA,NA,NA,NA
645,Witness for the Prosecution,1957,I May Never Go Home Anymore ,NA,NA,NA,Jack Brooks ,NA,Ralph Arthur Roberts ,NA,NA,NA,NA
646,Aliens,1986,It looks like we don't have any Soundtracks for this title yet.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
647,American Beauty,1999,Because ,John Lennon and Paul McCartney ,Elliott Smith ,NA,NA,NA,NA,NA,NA,NA,NA
648,American Beauty,1999,On Broadway ,"Barry Mann, Cynthia Weil, Jerry Leiber, and Mike Stoller ",NA,NA,NA,NA,NA,Hal Leonard Corporation,NA,NA,NA
649,American Beauty,1999,Tenderfoot ,Rick Arbuckle ,Zen Dadio ,NA,NA,NA,NA,Boho Records,NA,NA,NA
650,American Beauty,1999,All Right Now ,Andy Fraser and Paul Rodgers ,Free ,NA,NA,NA,NA,A&M Records/Island Records Ltd. ,NA,NA,Universal Music Special Markets
651,American Beauty,1999,We Haven't Turned Around ,"Ian Ball, 'Paul Blackburn', Tom Gray, Ben Ottewell, and Oliver Peacock ",Gomez ,NA,NA,NA,NA,"Virgin Records Limited/Virgin Records America, Inc.",NA,NA,NA
652,American Beauty,1999,Something Grand ,Hilton Ruiz ,Hilton Ruiz Ensemble ,NA,NA,NA,NA,the RCA Records Label of BMG Entertainment,NA,NA,NA
653,American Beauty,1999,American Woman ,"Burton Cummings, Randy Bachman, Jim Kale (as Jim Kale), and Gary Peterson ",The Guess Who ,NA,NA,NA,NA,the RCA Records Label of BMG Entertainment,NA,NA,NA
654,American Beauty,1999,All Along The Watchtower ,NA,NA,NA,NA,Bob Dylan ,NA,Columbia Records ,NA,NA,NA
655,American Beauty,1999,Use Me ,NA,NA,NA,NA,Bill Withers ,NA,Columbia Records ,NA,NA,NA
656,American Beauty,1999,Cancer For The Cure ,Mark Oliver Everett (as E) and Mickey Petralia ,Eels ,NA,NA,NA,NA,DreamWorks Records,NA,NA,NA
657,American Beauty,1999,The Seeker ,Pete Townshend ,The Who ,NA,NA,NA,NA,MCA Records & Polydor Limited ,NA,NA,Universal Music Special Markets
658,American Beauty,1999,Don't Rain On My Parade ,Jule Styne and Bob Merrill ,Bobby Darin and Annette Bening ,NA,NA,NA,NA,The Bobby Darin Testamentary Trust,NA,NA,NA
