,name,year,song_name,written_by,performed_by,composed_by,lyrics_by,written_performed_by,music_by,courtesy_of,conducted_by,libretto_by,under_license_from
42,Schindler's List,1993,Yeroushalaim Shel Zahav ,Naomi Shemer ,The Ramat Gan Chamber Choir Tel-Aviv ,NA,NA,NA,NA,NA,Hana Tzur,NA,NA
43,Schindler's List,1993,Por Una Cabeza ,NA,NA,NA,NA,NA,Carlos Gardel,NA,NA,NA,NA
44,Schindler's List,1993,"Meine Lippen, Sie Küssen So Heiss ",NA,NA,NA,NA,NA,"Franz Lehár (plays workers welcome Schindler, then kisses to girls)",NA,NA,NA,NA
45,Schindler's List,1993,To Ostatnia Niedziela ,Jerzy Petersburski ,Jacek Wójcicki,NA,NA,NA,NA,NA,NA,NA,NA
46,Schindler's List,1993,English Suite No.2 in A Minor ,Johann Sebastian Bach ,Johann Sebastian Bach,NA,NA,NA,NA,NA,NA,NA,NA
47,Schindler's List,1993,Mein Vater War Ein Wandersmann ,Friedrich-Wilhelm Möller ,Friedrich-Wilhelm Möller,NA,NA,NA,NA,NA,NA,NA,NA
48,Schindler's List,1993,Auf Der Heide Blueht Ein Kleines Bluemelein ,Herms Niel ,Herms Niel,NA,NA,NA,NA,NA,NA,NA,NA
49,Schindler's List,1993,Szomorú Vasárnap ,Rezsö Seress ,Rezsö Seress,NA,NA,NA,NA,NA,NA,NA,NA
50,Schindler's List,1993,Sus Ojos Se Cerraron ,NA,NA,NA,NA,NA,Carlos Gardel,NA,NA,NA,NA
51,Schindler's List,1993,Milosc ci wszystko wybaczy ,NA,Hanka Ordonówna,NA,Julian Tuwim ,NA,Henry Vars ,NA,NA,NA,NA
52,The Lord of the Rings: The Return of the King,2003,Into the West ,NA,Annie Lennox ,NA,NA,NA,NA,NA,NA,NA,NA
53,The Lord of the Rings: The Return of the King,2003,The Green Dragon ,NA,Billy Boyd and Dominic Monaghan ,NA,Philippa Boyens ,NA,"David Donaldson, David Long, Steve Roche (as Stephen Roche), and Janet Roddick ",Mana Music,NA,NA,NA
54,The Lord of the Rings: The Return of the King,2003,The Edge of Night ,NA,Billy Boyd ,NA,J.R.R. Tolkien ,NA,Billy Boyd ,NA,NA,NA,NA
55,The Lord of the Rings: The Return of the King,2003,Aragorn's Coronation ,NA,Viggo Mortensen,NA,J.R.R. Tolkien ,NA,Viggo Mortensen ,NA,NA,NA,NA
56,The Lord of the Rings: The Return of the King,2003,The House of Healing ,NA,Liv Tyler,NA,NA,NA,Howard Shore ,NA,NA,NA,NA
57,The Lord of the Rings: The Return of the King,2003,A Shadow Lies Between Us ,NA,Liv Tyler,NA,J.R.R. Tolkien ,NA,Howard Shore ,NA,NA,NA,NA
58,Pulp Fiction,1994,Misirlou ,"Fred Wise, Milton Leeds, Bob Russell, and Nicholas Roubanis ",Dick Dale & His Del-Tones ,NA,NA,NA,NA,Rhino Records,NA,NA,NA
59,Pulp Fiction,1994,It's Country ,NA,NA,NA,NA,NA,Ole Georg (as Henrik Nielsen) ,Capitol/Ole Georg Music,NA,NA,NA
60,Pulp Fiction,1994,Jungle Boogie ,"Ronald Bell, Claydes Smith, George Funky Brown (as George Brown), Robert Spike Mickens (as Robert Mickens), Donald Boyce, Richard Westfield, Dennis 'Dee Tee' Thomas (as Dennis Thomas), and Robert Kool Bell (as Robert Bell) ",Kool & The Gang ,NA,NA,NA,NA,Polygram Special Markets,NA,NA,NA
61,Pulp Fiction,1994,Strawberry Letter #23 ,Shuggie Otis ,Brothers Johnson ,NA,NA,NA,NA,"A&M Records, Inc.",NA,NA,NA
62,Pulp Fiction,1994,Bustin' Surfboards ,"Gerald Sanders, Jesse Sanders, Norman Sander and Leonard Delaney ",The Tornadoes ,NA,NA,NA,NA,GNP Crescendo Records,NA,NA,NA
