song_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,cluster_id
82.0,0.974,0.215,0.169,0.0585,0.0907,0.0402,0.0547,397.0
83.0,0.979,0.104,0.111,0.926,0.11,0.0517,0.039,127.0
84.0,0.941,0.137,0.0625,0.926,0.277,0.04,0.0365,2.0
85.0,0.943,0.45,0.0142,0.196,0.101,0.0371,0.158,17.0
86.0,0.787,0.304,0.657,0.954,0.113,0.0824,0.102,191.0
87.0,0.826,0.134,0.474,0.58,0.195,0.0518,0.133,274.0
88.0,0.77,0.714,0.62,0.0,0.142,0.0283,0.51,94.0
89.0,0.0888,0.701,0.417,0.000648,0.375,0.0329,0.186,367.0
90.0,0.769,0.365,0.354,0.883,0.563,0.0338,0.923,275.0
91.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
92.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
93.0,0.993,0.639,0.105,0.91,0.0618,0.0607,0.455,378.0
94.0,0.958,0.11,0.122,0.871,0.0758,0.038,0.039,127.0
95.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
96.0,0.876,0.205,0.265,0.847,0.141,0.0371,0.311,253.0
97.0,0.715,0.664,0.593,0.0,0.0653,0.0286,0.819,99.0
98.0,0.468,0.679,0.282,0.0,0.189,0.0285,0.251,319.0
99.0,0.0128,0.618,0.588,0.0266,0.351,0.0735,0.768,49.0
100.0,0.00524,0.629,0.619,0.0188,0.109,0.0315,0.88,208.0
101.0,0.245,0.667,0.599,0.0,0.107,0.0291,0.971,484.0
102.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
103.0,0.466,0.402,0.642,0.0,0.0556,0.0406,0.548,462.0
104.0,0.402,0.567,0.745,0.0,0.0873,0.0264,0.903,433.0
105.0,0.0888,0.701,0.417,0.000648,0.375,0.0329,0.186,367.0
106.0,0.958,0.11,0.122,0.871,0.0758,0.038,0.039,127.0
107.0,0.988,0.589,0.0871,0.941,0.114,0.0411,0.302,87.0
108.0,0.605,0.683,0.486,0.191,0.0763,0.0352,0.905,466.0
109.0,0.544,0.681,0.206,0.0,0.088,0.031,0.49,395.0
110.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
111.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
112.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
113.0,0.993,0.639,0.105,0.91,0.0618,0.0607,0.455,378.0
114.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
115.0,0.348,0.506,0.831,0.0,0.375,0.0342,0.796,405.0
116.0,0.00218,0.389,0.636,0.00409,0.0439,0.0336,0.49,97.0
117.0,0.958,0.11,0.122,0.871,0.0758,0.038,0.039,127.0
118.0,0.355,0.538,0.631,0.00266,0.0708,0.0249,0.616,260.0
119.0,0.428,0.566,0.505,5.3e-06,0.0927,0.0283,0.649,130.0
120.0,0.0407,0.44,0.804,2.89e-05,0.0404,0.0384,0.768,40.0
121.0,0.404,0.292,0.728,0.00214,0.105,0.0404,0.524,462.0
122.0,0.957,0.39,0.0858,0.152,0.0883,0.0383,0.0662,48.0
123.0,0.22,0.511,0.538,2.53e-06,0.6,0.0293,0.655,214.0
124.0,0.954,0.48,0.173,0.901,0.0991,0.0288,0.117,5.0
125.0,0.958,0.11,0.122,0.871,0.0758,0.038,0.039,127.0
126.0,0.958,0.11,0.122,0.871,0.0758,0.038,0.039,127.0
127.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
128.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
129.0,0.802,0.578,0.434,0.00102,0.277,0.0471,0.75,423.0
130.0,0.283,0.559,0.615,0.0,0.0957,0.0473,0.68,260.0
131.0,0.923,0.228,0.00911,0.0515,0.16,0.0332,0.257,444.0
132.0,0.011,0.629,0.724,0.00406,0.0989,0.0269,0.926,12.0
