song_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,cluster_id,movie,name
1428,0.00064,0.701,0.645,0.000322,0.333,0.0344,0.679,377,Casino,(I Can't Get No) Satisfaction 
1445,0.0443,0.798,0.638,0.011,0.265,0.0705,0.566,377,Casino,Love Me the Way I Love You 
1594,0.0245,0.637,0.626,0.00609,0.295,0.102,0.655,377,Kill Bill: Vol. 1,That Certain Female 
2625,0.0632,0.762,0.643,0,0.355,0.0321,0.705,377,Freaks and Geeks,It looks like we don't have any Soundtracks for this title yet.
7,0.991,0.559,0.034,0.933,0.101,0.0789,0.43,378,The Godfather,Luna mezz' 'o mare 
29,0.991,0.559,0.034,0.933,0.101,0.0789,0.43,378,The Godfather: Part II,Guantanamera 
93,0.993,0.639,0.105,0.91,0.0618,0.0607,0.455,378,Forrest Gump,Sugar Shack 
113,0.993,0.639,0.105,0.91,0.0618,0.0607,0.455,378,Forrest Gump,Break On Through (To the Other Side) 
598,0.982,0.613,0.0531,0.942,0.12,0.046,0.349,378,The Lives of Others,Albatros 
752,0.99,0.647,0.124,0.848,0.118,0.0446,0.513,378,Amadeus,"A Little Night Music Serenade in G for Strings 'Eine Kleine Nachtmusik', K. 525, 1st Movement "
964,0.979,0.55,0.131,0.868,0.0964,0.0444,0.509,378,High and Low,"Forellenquintett (Trout Quintet), 4th movement "
2001,0.976,0.673,0.0448,0.956,0.133,0.035,0.396,378,Barry Lyndon,CELLO CONCERTO IN E-MINOR (3rd. movement) 
2004,0.976,0.673,0.0448,0.956,0.133,0.035,0.396,378,Barry Lyndon,IDOMENEO (march) 
2005,0.976,0.673,0.0448,0.956,0.133,0.035,0.396,378,Barry Lyndon,HOHENFRIEDBERGER MARCH 
383,0.102,0.594,0.46,1.35E-06,0.224,0.0306,0.634,379,The Departed,Nobody But Me 
733,0.153,0.544,0.533,0.00444,0.29,0.0307,0.685,379,Toy Story,Strange Things 
1387,0.00623,0.575,0.416,0.138,0.272,0.0337,0.773,379,The Wolf of Wall Street,Boom Boom 
1401,0.00623,0.575,0.416,0.138,0.272,0.0337,0.773,379,The Wolf of Wall Street,Boom Boom Boom 
2015,0.101,0.509,0.49,3.50E-05,0.202,0.0349,0.713,379,The Seventh Seal,Ödet Är en Rackare 
2017,0.101,0.509,0.49,3.50E-05,0.202,0.0349,0.713,379,The Seventh Seal,Skats Sång 
2672,0.153,0.544,0.533,0.00444,0.29,0.0307,0.685,379,Stranger Things,Stranger Things 
175,0.948,0.786,0.16,0,0.437,0.0762,0.46,380,The Matrix,I'm Beginning to See the Light 
310,0.812,0.552,0.333,0,0.479,0.044,0.629,380,Back to the Future,THE WALLFLOWER (DANCE WITH ME HENRY) 
1115,0.835,0.494,0.237,0,0.648,0.0517,0.625,380,Hamilton,The Story of Tonight 
1654,0.895,0.589,0.199,0.0105,0.549,0.034,0.543,380,Raging Bull,I Ain't Got Nobody 
2321,0.884,0.579,0.155,3.52E-06,0.452,0.233,0.636,380,The Wizard of Oz,If I Only Had a Heart 
1996,0.303,0.844,0.98,0.000751,0.55,0.0535,0.316,381,Memories of Murder,It looks like we don't have any Soundtracks for this title yet.
363,0.833,0.167,0.146,0.88,0.17,0.0391,0.132,382,The Lion King,I've Got a Lovely Bunch of Coconuts 
404,0.813,0.107,0.184,0.922,0.0967,0.0396,0.0331,382,The Prestige,Analyse 
