song_name,artist,pos_percent,spotify_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Don't Care,Obituary,0.380681818,5st0CKelul6IkDMo8Q2hyp,4.85E-06,0.287,0.91,0.00909,0.102,0.0446,0.371
Homo Sum,Decapitated,0.508710801,2auhUgUyNvABs2IeEL2aKP,6.79E-05,0.519,0.981,0.178,0.365,0.099,0.149
In the Minds of Evil,Deicide,0.056092843,3D6ZPZrFk2CHZCJ2STxHW7,9.92E-05,0.535,0.889,0.41,0.329,0.0533,0.327
Inhumane Harvest,Cannibal Corpse,0.161458333,5WGvXmLt6acluR7TfhlHUH,2.45E-05,0.13,0.947,0.368,0.0453,0.095,0.334
Permitting the Noble Dead to Descend to the Underworld,Nile,0.683544304,4WhJTH2QQJaqNaibN48Io0,2.56E-06,0.409,0.948,0.801,0.241,0.0665,0.145
Unfit for Human Consumption,Carcass,0.194285714,2L4hnHW64BwupvbJHPAFGW,2.23E-06,0.144,0.993,0.597,0.311,0.124,0.238
Make You Feel My Love,Sleeping At Last,0.725274725,2NZEJxIUnsP18o2aNzeuZW,0.979,0.451,0.0767,0,0.129,0.0402,0.333
Pierre,Ryn Weaver,0.293023256,2vpVR1L7Qfkd7D6qFNuorq,0.289,0.607,0.827,2.95E-06,0.719,0.0484,0.552
Play Date,Melanie Martinez,0.544680851,4DpNNXFMMxQEKl7r0ykkWA,0.612,0.68,0.729,0,0.224,0.0475,0.446
Cloud 9,Paravi,0.864795918,0Qj4YyHTtV01Fvfl2fibea,0.862,0.53,0.268,0,0.0936,0.0332,0.338
I'll Keep You Safe,Sleeping At Last,0.725925926,2XiqsYPmKLqjOigE3HmfXb,0.876,0.333,0.436,0.0179,0.0808,0.029,0.149
I'll Keep You Safe,sagun,1,01Rc6yXYtujAnMaR1NME11,0.945,0.752,0.0625,0.819,0.178,0.0557,0.462
Till Forever Falls Apart,Ashe,0.717472119,2769RhOZs0ezRncRW1vryp,0.413,0.509,0.498,0,0.0674,0.0315,0.283
What They'll Say About Us,FINNEAS,0.661870504,4W1gUkq2TAOOFCBet3i3WR,0.88,0.538,0.318,7.28E-05,0.116,0.0417,0.0897
Dandelions,Ruth B.,0.935483871,2eAvDnpXP5W0cVtiI0PUxV,0.0157,0.609,0.692,0,0.0864,0.0259,0.454
Moral of the Story (feat. Niall Horan) - Bonus Track,Ashe,0.608974359,5v6qYImm5k36GHlFxdEZyv,0.496,0.579,0.37,0,0.221,0.0383,0.216
Moral of the Story,Ashe,0.651515152,2nC3QhMI9reBIOWutbU3Tj,0.587,0.572,0.406,4.48E-06,0.102,0.0427,0.265
Water Fountain,Alec Benjamin,0.483443709,4IhKLu7Vk3j2TLmnFPl6To,0.388,0.723,0.504,7.40E-05,0.087,0.0392,0.551
One Day,Tate McRae,0.552238806,4Ey0LK1HzksUqm9JLzzKuD,0.911,0.436,0.153,0,0.129,0.0454,0.415
Dancing With Your Ghost,Sasha Alex Sloan,0.712802768,1TQXIltqoZ5XXyfCbAeSQQ,0.768,0.629,0.328,2.50E-05,0.103,0.029,0.389
Can't Help Falling in Love,Christian Leave,0.772811918,6VrAgFXBbRX2PkT92lAoKK,0.983,0.608,0.269,1.96E-06,0.337,0.0329,0.389
As the World Caves In,Sarah Cothran,0.380208333,2xXNLutYAOELYVObYb1C1S,0.441,0.422,0.25,0,0.35,0.0351,0.246
Love Story,Sarah Cothran,0.693467337,28iWca1I2wjlrkfiMMP0aL,0.554,0.681,0.236,0,0.157,0.0322,0.256
Wonder,Shawn Mendes,0.902439024,5KCbr5ndeby4y4ggthdiAb,0.131,0.333,0.637,1.80E-05,0.149,0.0581,0.132
Halley's Comet,Billie Eilish,0.74852071,5XsAal7ZcWg1I5T4NcRjkv,0.961,0.403,0.159,0.0121,0.34,0.104,0.0381
Happier Than Ever,Billie Eilish,0.402390438,4RVwu0g32PAqgUiJoXsdF8,0.767,0.332,0.225,0.00349,0.128,0.0348,0.297
favorite crime,Olivia Rodrigo,0.504531722,5JCoSi02qi3jJeHdZXMmR8,0.866,0.369,0.272,0,0.147,0.0364,0.218
Daddy Issues(Slowed),frxzen,0.547368421,0llvHC2QooxZ4uObBTyJ3e,0.0855,0.56,0.455,0.39,0.109,0.0373,0.356
Daddy Issues,The Neighbourhood,0.272727273,5E30LdtzQTGqRvNd7l6kG5,0.0678,0.588,0.521,0.149,0.123,0.0329,0.337
when the party's over,Billie Eilish,0.864229765,43zdsphuZLzwA9k4DJhU0I,0.978,0.367,0.111,3.97E-05,0.0897,0.0972,0.198
come out and play,Billie Eilish,0.821705426,7wC5eZcFS1Q1BsQ35DU6H4,0.693,0.64,0.321,0.0307,0.114,0.0931,0.177
Still Don't Know My Name,Labrinth,0.60591133,6N22FZs2ZhPBYi3b9XPajV,0.471,0.316,0.63,0.262,0.205,0.117,0.313
Paper Rings,Taylor Swift,0.718446602,4y5bvROuBDPr5fuwXbIBZR,0.0129,0.811,0.719,1.36E-05,0.0742,0.0497,0.865
Out of My League,Fitz and The Tantrums,0.747474747,5qEn8c0MBzyRKgQq91Vevi,0.0387,0.545,0.968,0.00325,0.331,0.0853,0.527
Hold On,Extreme Music,0.435897436,4Z524Thpkxb5g8ZKHa7nWI,0.0214,0.526,0.689,0,0.106,0.0324,0.284
Arcade,Duncan Laurence,0.588235294,1Xi84slp6FryDSCbzq4UCD,0.818,0.45,0.329,0.00109,0.135,0.0441,0.266
