spotify_cluster_id,movie_cluster_id
404.0,489.0
195.0,468.0
225.0,498.0
478.0,64.0
269.0,393.0
291.0,373.0
379.0,46.0
81.0,499.0
58.0,399.0
47.0,189.0
208.0,216.0
212.0,313.0
388.0,88.0
150.0,42.0
375.0,496.0
50.0,392.0
44.0,66.0
153.0,479.0
49.0,361.0
314.0,234.0
281.0,185.0
243.0,144.0
167.0,412.0
378.0,366.0
396.0,306.0
226.0,380.0
11.0,148.0
60.0,371.0
426.0,286.0
62.0,424.0
236.0,11.0
359.0,114.0
497.0,187.0
128.0,257.0
423.0,231.0
392.0,222.0
254.0,397.0
483.0,85.0
64.0,111.0
15.0,486.0
275.0,89.0
469.0,293.0
87.0,100.0
299.0,282.0
472.0,473.0
177.0,259.0
499.0,34.0
31.0,339.0
68.0,243.0
191.0,260.0
425.0,161.0
204.0,39.0
320.0,367.0
332.0,223.0
297.0,494.0
348.0,4.0
210.0,83.0
266.0,455.0
316.0,177.0
86.0,294.0
4.0,448.0
8.0,197.0
464.0,62.0
460.0,59.0
105.0,35.0
252.0,217.0
458.0,211.0
192.0,344.0
224.0,131.0
182.0,274.0
211.0,45.0
470.0,390.0
428.0,118.0
154.0,300.0
265.0,7.0
30.0,277.0
384.0,68.0
82.0,378.0
477.0,240.0
415.0,127.0
401.0,219.0
272.0,154.0
414.0,314.0
391.0,220.0
244.0,150.0
284.0,5.0
53.0,17.0
103.0,256.0
340.0,168.0
12.0,247.0
248.0,104.0
476.0,288.0
408.0,193.0
207.0,456.0
406.0,436.0
461.0,483.0
27.0,275.0
146.0,266.0
162.0,396.0
43.0,384.0
257.0,192.0
398.0,239.0
135.0,466.0
172.0,349.0
22.0,434.0
124.0,171.0
35.0,388.0
481.0,221.0
446.0,362.0
311.0,329.0
427.0,182.0
444.0,16.0
83.0,107.0
203.0,297.0
294.0,238.0
463.0,99.0
373.0,70.0
57.0,215.0
439.0,325.0
436.0,165.0
432.0,480.0
253.0,317.0
197.0,163.0
381.0,176.0
480.0,109.0
134.0,493.0
360.0,406.0
240.0,167.0
234.0,370.0
13.0,368.0
418.0,141.0
372.0,25.0
241.0,376.0
