spotify_cluster_id,movie_cluster_id
34.0,389.0
88.0,334.0
296.0,474.0
219.0,386.0
3.0,369.0
324.0,296.0
158.0,417.0
59.0,78.0
319.0,170.0
397.0,122.0
76.0,327.0
121.0,318.0
496.0,477.0
273.0,443.0
260.0,330.0
451.0,372.0
184.0,53.0
346.0,445.0
227.0,359.0
190.0,383.0
149.0,41.0
138.0,228.0
33.0,426.0
199.0,236.0
78.0,348.0
17.0,346.0
448.0,173.0
251.0,79.0
202.0,152.0
279.0,264.0
374.0,435.0
61.0,469.0
131.0,184.0
141.0,106.0
239.0,24.0
304.0,481.0
99.0,271.0
36.0,337.0
91.0,93.0
322.0,203.0
5.0,125.0
179.0,356.0
342.0,244.0
498.0,350.0
37.0,295.0
129.0,482.0
26.0,490.0
229.0,188.0
233.0,338.0
355.0,460.0
285.0,86.0
433.0,126.0
170.0,38.0
171.0,425.0
142.0,121.0
217.0,357.0
351.0,322.0
335.0,287.0
450.0,302.0
387.0,333.0
350.0,492.0
165.0,207.0
368.0,472.0
315.0,81.0
25.0,55.0
484.0,261.0
353.0,284.0
186.0,137.0
77.0,142.0
67.0,413.0
325.0,267.0
39.0,316.0
169.0,69.0
94.0,446.0
333.0,428.0
399.0,77.0
110.0,328.0
18.0,290.0
71.0,298.0
32.0,19.0
343.0,21.0
330.0,345.0
403.0,175.0
380.0,186.0
262.0,305.0
329.0,32.0
356.0,36.0
447.0,364.0
127.0,382.0
263.0,320.0
109.0,292.0
371.0,414.0
28.0,210.0
159.0,409.0
361.0,57.0
166.0,332.0
277.0,433.0
132.0,245.0
7.0,363.0
300.0,381.0
41.0,341.0
482.0,352.0
416.0,129.0
100.0,342.0
189.0,196.0
209.0,22.0
79.0,151.0
271.0,51.0
289.0,268.0
256.0,451.0
38.0,191.0
467.0,303.0
1.0,135.0
344.0,233.0
456.0,420.0
249.0,252.0
323.0,324.0
445.0,401.0
413.0,200.0
440.0,467.0
370.0,404.0
438.0,110.0
341.0,84.0
115.0,27.0
459.0,116.0
125.0,43.0
218.0,164.0
268.0,304.0
193.0,442.0
72.0,37.0
264.0,61.0
235.0,478.0
419.0,47.0
45.0,276.0
431.0,91.0
9.0,453.0
164.0,3.0
488.0,132.0
221.0,195.0
95.0,336.0
215.0,272.0
14.0,491.0
220.0,278.0
354.0,96.0
449.0,6.0
55.0,403.0
133.0,213.0
386.0,452.0
214.0,422.0
200.0,227.0
400.0,449.0
96.0,280.0
390.0,283.0
288.0,315.0
412.0,423.0
20.0,1.0
479.0,105.0
382.0,123.0
54.0,471.0
247.0,319.0
365.0,464.0
393.0,301.0
113.0,108.0
290.0,128.0
420.0,235.0
364.0,74.0
276.0,360.0
148.0,23.0
495.0,230.0
52.0,103.0
139.0,408.0
308.0,454.0
383.0,183.0
46.0,226.0
2.0,258.0
326.0,457.0
74.0,76.0
377.0,87.0
16.0,475.0
119.0,465.0
120.0,102.0
421.0,281.0
237.0,431.0
337.0,8.0
176.0,253.0
434.0,134.0
366.0,138.0
173.0,354.0
130.0,201.0
